Folder,Source,Especie,Foto_num,Alt_cabeza,Alt_ojo,Radio_AC_AO,Total_length
20190503SesionPescaEMA/Peste,1,Magru,128-129,35.3,14.9,2.37,301.6
20190503SesionPescaEMA/Peste,1,Magru,130-131,34.533,14.95,2.31,306.3
20190503SesionPescaEMA/Peste,1,Magru,134-135,30.8,15.3,2.01,289.6
20190503SesionPescaEMA/Peste,1,Magru,136-138,29.5,12.7,2.32,272.8
20190503SesionPescaEMA/Peste,1,Magru,139-140,31.7,14,2.26,288.7
20190503SesionPescaEMA/Peste,1,Magru,141-142,29.8,14.6,2.04,286
20190503SesionPescaEMA/Peste,1,Magru,143-144,32,14.8,2.16,292.6
20190503SesionPescaEMA/Peste,1,Magru,145-151,29.7,14.7,2.02,288.3
20190503SesionPescaEMA/Peste,1,Magru,152-153,26.6,13.6,1.96,281.5
20190503SesionPescaEMA/Peste,1,Magru,154-155,28,13.7,2.04,291.1
20190503SesionPescaEMA/Peste,1,Magru,158-159,37.9,15,2.53,362.8
20190503SesionPescaEMA/Peste,1,Magru,164-165,30.2,14.5,2.08,278.3
20190503SesionPescaEMA/Peste,1,Magru,168-169,30.3,13.6,2.23,278.3
20190503SesionPescaEMA/Peste,1,Magru,187,31.2,13.8,2.26,292
20190503SesionPescaEMA/Peste,1,Magru,188,37.8,14.2,2.29,290.1
20190503SesionPescaEMA/Peste,1,Magru,189-191,30.7,15.2,2.02,311
20190503SesionPescaEMA/Peste,1,Magru,196,29.9,14.2,2.11,269.6
20210124_torneo_pesca_Punion,2,Merluccius_hubbsi,291-292,,,356,
20190104Getino|Camarones,2,Mero,060210300_23,59.47,19,3.13,295.5
20190104Getino|GN,2,Mero,050311200_1,48.6,15,3,291.4
20190104Getino|GN,2,Mero,200211200_23,53.1,18,2.95,273.5
20190104Getino|GSJ,2,Mero,190211100_8,22.32,8.072332731,2.765,239
20190503SesionPescaEMA/Peste,1,Mero,16-19,52.7,16.2,3.25,335.8
20190503SesionPescaEMA/Peste,1,Mero,20-22,53.1,18.2,2.92,286.3
20190503SesionPescaEMA/Peste,1,Mero,27-29,230,72,3.194444444,337.8
20190503SesionPescaEMA/Peste,1,Mero,30-32,254,74,3.4,334.4
20190503SesionPescaEMA/Peste,1,Mero,33-36,53.8,16.75,3.211940299,331.8
20190503SesionPescaEMA/Peste,1,Mero,37-40,69.2,20.1,3.45,418
20190503SesionPescaEMA/Peste,1,Mero,41-42,58.3,19.1,3.05,312
20190503SesionPescaEMA/Peste,1,Mero,43-45,49.3,15.5,3.18,301
20190503SesionPescaEMA/Peste,1,Mero,46-49,54.5,16.3,3.04,275.3
20190503SesionPescaEMA/Peste,1,Mero,50-52,59.5,17.5,3.4,359.2
20190503SesionPescaEMA/Peste,1,Mero,53-54,57.7,18.4,3.14,360
20190503SesionPescaEMA/Peste,1,Mero,62-65,55,15.7,3.19,297.3
20210321_TorneoapneaMadryn,1,Mero,72-73,68.1,20,3.41,356.5
20210321_TorneoapneaMadryn,1,Mero,172-174,71.1,18.6,3.83,453.5
20210321_TorneoapneaMadryn,2,Mero,3&4,564.617,159.7,3.535485285,445
20210321_TorneoapneaMadryn,2,Mero,5&6,79.712,23,3.46573913,431
20210321_TorneoapneaMadryn,2,Mero,9&10,76.304,23.606,3.232398543,400
20210321_TorneoapneaMadryn,2,Mero,11&12,61.03,17,3.59,425
20210321_TorneoapneaMadryn,2,Mero,29-30,88.09,23,3.83,476
20210321_TorneoapneaMadryn,2,Mero,41-42,111.28,26,4.25,510
20210321_TorneoapneaMadryn,2,Mero,52-53,71.651,22.859,3.134476574,377
20210321_TorneoapneaMadryn,2,Mero,54-55,61.561,20.665,2.978998306,331
20210321_TorneoapneaMadryn,2,Mero,56-57,165.74,50.279,3.296406054,370
20210321_TorneoapneaMadryn,2,Mero,73-74,613.15,182.5,3.359726027,410
20210321_TorneoapneaMadryn,2,Mero,75-76,87.929,23.965,3.669059044,445
20210321_TorneoapneaMadryn,2,Mero,77-79,77.981,24.445,3.190059317,395
20210321_TorneoapneaMadryn,2,Mero,80-81,96.355,27.754,3.47175182,430
20210321_TorneoapneaMadryn,2,Mero,105-106,92.560048,26.659,3.472,430
20210321_TorneoapneaMadryn,2,Mero,109-110,92.03800028,27.215,3.381885,440
20210321_TorneoapneaMadryn,2,Mero,111-112,77.109,22.893,3.368234832,385
20210321_TorneoapneaMadryn,2,Mero,113-114,76.5212,22.3087,3.430105743,405
20210321_TorneoapneaMadryn,2,Mero,115-116,157.922,47.872,3.29883857,420
20210321_TorneoapneaMadryn,2,Mero,117-118,91.133,24.002,3.796891926,425
20210321_TorneoapneaMadryn,2,Mero,119-120,110.259,30.125,3.660049793,385
20210321_TorneoapneaMadryn,2,Mero,133-135,115,29.41176471,3.91,475
20210124_torneo_pesca_Punion,2,Myliobatis,226-229,,,820,
20210124_torneo_pesca_Punion,2,Myliobatis,260-262,,,850,
20210124_torneo_pesca_Punion,2,Myliobatis,289-290,,,800,
20200119_T_Pesca_Rawson,2,Palometa,"80,81",50.108,12.149,4.12,440
20200119_T_Pesca_Rawson,2,Palometa,"96,98",50.634,13.92,3.64,400
20200119_T_Pesca_Rawson,2,Palometa,"108,109",49.243,14.076,3.5,380
20200119_T_Pesca_Rawson,2,Palometa,Video 3,41.815,10.885,3.84,365
20200119_T_Pesca_Rawson,2,Palometa,Video 3,50.209,14.28,3.52,435
20200119_T_Pesca_Rawson,2,Palometa,Video 3,52.812,14.765,3.58,400
20190401FotosLujan,3,Papamoscas,nem_ber01,51.2,16,3.2,265
20190401FotosLujan,3,Papamoscas,nem_ber02,46.5,15,3.1,232
20190401FotosLujan,3,Papamoscas,nem_ber03,44.2,13,3.4,245
20190624MuestreoVideo,1,Papamoscas,papam1,66,17.5,3.77,397
20210321_TorneoapneaMadryn,2,Papamoscas,31-32,48.752,17.026,2.86,275
20210321_TorneoapneaMadryn,2,Papamoscas,33-34,44.243,13.032,3.39,240
20210321_TorneoapneaMadryn,2,Papamoscas,35-36,52.314,14.362,3.64,295
20210321_TorneoapneaMadryn,2,Papamoscas,61-63,53.139,11.943,4.4,295
20210321_TorneoapneaMadryn,2,Papamoscas,64-65,53.572,13.926,3.85,285
20210321_TorneoapneaMadryn,2,Papamoscas,,45.88339,11.98,3.83,320
20200119_T_Pesca_Rawson,2,Pejerrey,160,13.1,5.4,2.43,163
20200119_T_Pesca_Rawson,2,Pejerrey,"13,14",13.1,5.6,2.34,146
20200119_T_Pesca_Rawson,2,Pejerrey,"15,16",12,4.8,2.5,120
20200119_T_Pesca_Rawson,2,Pejerrey,"17,18",11.6,5,2.32,116
20200119_T_Pesca_Rawson,2,Pejerrey,"19,20",11.7,4.9,2.39,115
20200119_T_Pesca_Rawson,2,Pejerrey,"21,22,23",11.4,5.3,2.15,120
20200119_T_Pesca_Rawson,2,Pejerrey,"24,25",15.4,7.4,2.08,150
20200119_T_Pesca_Rawson,2,Pejerrey,"28,29",11.4,5.1,2.24,118
20200119_T_Pesca_Rawson,2,Pejerrey,"30,31",18.9,7.7,2.45,229
20200119_T_Pesca_Rawson,2,Pejerrey,"32,33",11.6,5.4,2.15,120
20200119_T_Pesca_Rawson,2,Pejerrey,34,12.4,5.7,2.18,120
20200119_T_Pesca_Rawson,2,Pejerrey,"35,36",13.1,5.9,2.22,117
20200119_T_Pesca_Rawson,2,Pejerrey,"37,38",13.2,6.2,2.13,119
20200119_T_Pesca_Rawson,2,Pejerrey,"45,46",10.4,5.3,1.96,115
20200119_T_Pesca_Rawson,2,Pejerrey,"47,48",11.7,6,1.95,130
20200119_T_Pesca_Rawson,2,Pejerrey,"49,50",11.4,5.5,2.07,115
20200119_T_Pesca_Rawson,2,Pejerrey,"51,52",11.2,5.7,1.96,116
20200119_T_Pesca_Rawson,2,Pejerrey,55,47,26.1,1.800766284,128
20200119_T_Pesca_Rawson,2,Pejerrey,"56,57",49.393,30.15,1.638242123,133
20200119_T_Pesca_Rawson,2,Pejerrey,58,12.9,5.7,2.26,130
20200119_T_Pesca_Rawson,2,Pejerrey,60,13.7,5.7,2.4,149
20200119_T_Pesca_Rawson,2,Pejerrey,82,28,11.5,2.43,245
20200119_T_Pesca_Rawson,2,Pejerrey,133,23.4,8.2,2.85,250
20200119_T_Pesca_Rawson,2,Pejerrey,"158,159",94.3,36,2.619444444,164
20200119_T_Pesca_Rawson,2,Pejerrey,"35,36",18.1,8.1,2.23,216
20200119_T_Pesca_Rawson,2,Pejerrey,53,103.33,44.84,2.3044157,342
20200119_T_Pesca_Rawson,2,Pejerrey,"54,55",22.6,8.6,2.63,237
20200119_T_Pesca_Rawson,2,Pejerrey,73,22,10.6,2.08,270
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,"11,12",15.005,6.971,2.15,165
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,"26,27",25.63,10.875,2.36,153
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,"84,85",19.9008,9.3434,2.13,150
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,"94,95",12.727,5.508,2.31,135
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,"104,105",24.738,8.516,2.9,245
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,Video 2,24.706,6.726,3.67,232
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,Video 2,18.253,9.3335,1.96,150
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,Video 2,17.16666667,8.673,1.98,155
20200119_T_Pesca_Rawson,2,Pejerrey_smitti,Video 2,13.011,7.126,1.83,142
20200222_T_pesca_Madryn,2,Pejerrey,"4,5",20.2,10,2.02,119
20200222_T_pesca_Madryn,2,Pejerrey,9,27.1,10.75,2.52,268
20210124_torneo_pesca_Punion,2,Pejerrey,73,37.332,16.425,2.27,180
20210124_torneo_pesca_Punion,2,Pejerrey,82,50.449,21.209,2.38,220
20210124_torneo_pesca_Punion,2,Pejerrey,105,20.987,11.053,1.9,165
20210124_torneo_pesca_Punion,2,Pejerrey,106,45.611,19.213,2.37,231
20210124_torneo_pesca_Punion,2,Pejerrey,108,23.27,10.71,2.17,222
20210124_torneo_pesca_Punion,2,Pejerrey,155-156,43.883,18.492,2.37,350
20210124_torneo_pesca_Punion,2,Pejerrey,249,25.822,11.265,2.29,297
20210124_torneo_pesca_Punion,2,Pejerrey,250-251,33.299,14.472,2.3,310
